facotr_name,factor_code,risk
市值,size,Market Risk
贝塔,beta,Market Risk
传统动量,momentum,Market Risk
残差波动率,residual_volatility,"Market Risk, Liquidity Risk"
非线性市值,non_linear_size,Market Risk
账面市值比,book_to_price_ratio,"Market Risk, Default Risk"
流动性,liquidity,Liquidity Risk
盈利能力,earnings_yield,Default Risk
成长,growth,Default Risk
杠杆,leverage,Default Risk
净利润与营业总收入之比,net_profit_to_total_operate_revenue_ttm,Default Risk
经营活动产生的现金流量净额与企业价值之比TTM,cfo_to_ev,"Default Risk, Liquidity Risk"
销售净利率,net_profit_ratio,Default Risk
营业外收支利润净额/利润总额,net_non_operating_income_to_total_profit,Default Risk
固定资产比率,fixed_asset_ratio,"Liquidity Risk, Market Risk"
销售税金率,operating_tax_to_operating_revenue_ratio_ttm,Default Risk
经营活动产生的现金流量净额与经营活动净收益之比,net_operate_cash_flow_to_operate_income,"Default Risk, Liquidity Risk"
净利润现金含量,net_operating_cash_flow_coverage,"Default Risk, Liquidity Risk"
无形资产比率,intangible_asset_ratio,"Liquidity Risk, Market Risk"
产权比率,debt_to_equity_ratio,Default Risk
营业利润增长率,operating_profit_growth_rate,Default Risk
经营活动产生现金流量净额/净债务,net_operate_cash_flow_to_net_debt,"Default Risk, Liquidity Risk"
总资产现金回收率,net_operate_cash_flow_to_asset,"Default Risk, Liquidity Risk"
总资产周转率,total_asset_turnover_rate,Liquidity Risk
有形净值债务率,debt_to_tangible_equity_ratio,Default Risk
总资产报酬率,ROAEBITTTM,Default Risk
营业利润率,operating_profit_ratio,Default Risk
经营活动净收益/利润总额,operating_profit_to_total_profit,Default Risk
债务总资产比,debt_to_asset_ratio,Default Risk
股东权益与固定资产比率,equity_to_fixed_asset_ratio,Default Risk
经营活动产生的现金流量净额/负债合计,net_operate_cash_flow_to_total_liability,"Default Risk, Liquidity Risk"
经营活动产生的现金流量净额与营业收入之比,cash_rate_of_sales,Liquidity Risk
营业利润与营业总收入之比,operating_profit_to_operating_revenue,Default Risk
资产回报率TTM,roa_ttm,Default Risk
管理费用与营业总收入之比,admin_expense_rate,Default Risk
固定资产周转率,fixed_assets_turnover_rate,Liquidity Risk
对联营和合营公司投资收益/利润总额,invest_income_associates_to_total_profit,Default Risk
股东权益比率,equity_to_asset_ratio,Default Risk
现金流资产比和资产回报率之差,ACCA,Liquidity Risk
权益回报率TTM,roe_ttm,Default Risk
扣除非经常损益后的净利润/利润总额,adjusted_profit_to_total_profit,Default Risk
股东权益周转率,equity_turnover_rate,"Market Risk, Liquidity Risk"
财务杠杆指数,LVGI,Default Risk
营业收入指数,SGI,Default Risk
销售利润率TTM,profit_margin_ttm,Default Risk
长期权益回报率TTM,roe_ttm_8y,Default Risk
长期资产回报率TTM,roa_ttm_8y,Default Risk
销售管理费用指数,SGAI,Default Risk
营业总收入TTM,total_operating_revenue_ttm,Default Risk
营业利润TTM,operating_profit_ttm,Default Risk
经营活动现金流量净额TTM,net_operate_cash_flow_ttm,"Default Risk, Liquidity Risk"
营业收入TTM,operating_revenue_ttm,Default Risk
留存收益,retained_earnings,Default Risk
营业总成本TTM,total_operating_cost_ttm,Default Risk
营业外收支净额TTM,non_operating_net_profit_ttm,Default Risk
投资活动现金流量净额TTM,net_invest_cash_flow_ttm,Liquidity Risk
管理费用TTM,administration_expense_ttm,Default Risk
净利息费用,net_interest_expense,Default Risk
价值变动净收益TTM,value_change_profit_ttm,"Market Risk, Default Risk"
利润总额TTM,total_profit_ttm,Default Risk
筹资活动现金流量净额TTM,net_finance_cash_flow_ttm,Liquidity Risk
无息流动负债,interest_free_current_liability,Liquidity Risk
息税前利润,EBIT,Default Risk
净利润TTM,net_profit_ttm,Default Risk
经营活动净收益,OperateNetIncome,Default Risk
息税折旧摊销前利润（报告期）,EBITDA,Default Risk
资产减值损失TTM,asset_impairment_loss_ttm,Default Risk
归属于母公司股东的净利润TTM,np_parent_company_owners_ttm,Default Risk
净债务,net_debt,Default Risk
非经常性损益,non_recurring_gain_loss,Default Risk
市值,market_cap,Market Risk
现金流市值比,cash_flow_to_price_ratio,"Market Risk, Liquidity Risk"
营收市值比,sales_to_price_ratio,"Market Risk, Default Risk"
流通市值,circulating_market_cap,Market Risk
经营性资产,operating_assets,Liquidity Risk
金融资产,financial_assets,"Liquidity Risk, Market Risk"
营业收入增长率,operating_revenue_growth_rate,Default Risk
总资产增长率,total_asset_growth_rate,Default Risk
经营活动产生的现金流量净额增长率,net_operate_cashflow_growth_rate,"Default Risk, Liquidity Risk"
利润总额增长率,total_profit_growth_rate,Default Risk
归属母公司股东的净利润增长率,np_parent_company_owners_growth_rate,Default Risk
筹资活动产生的现金流量净额增长率,financing_cash_growth_rate,Liquidity Risk
净利润增长率,net_profit_growth_rate,Default Risk
净资产增长率,net_asset_growth_rate,Default Risk
市盈率相对盈利增长比率,PEG,"Market Risk, Default Risk"
每股营业总收入TTM,total_operating_revenue_per_share_ttm,Default Risk
每股现金及现金等价物余额,cash_and_equivalents_per_share,Liquidity Risk
每股盈余公积金,surplus_reserve_fund_per_share,Default Risk
每股未分配利润,retained_profit_per_share,Default Risk
每股营业收入TTM,operating_revenue_per_share_ttm,Default Risk
每股净资产,net_asset_per_share,Default Risk
每股营业总收入,total_operating_revenue_per_share,Default Risk
每股留存收益,retained_earnings_per_share,Default Risk
每股营业收入,operating_revenue_per_share,Default Risk
每股经营活动产生的现金流量净额,net_operate_cash_flow_per_share,"Default Risk, Liquidity Risk"
每股营业利润TTM,operating_profit_per_share_ttm,Default Risk
每股收益TTM,eps_ttm,Default Risk
